2026-04-21T07:27:16 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T07:27:24 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T07:27:25 WARNING src.vector: index_pdf: no text extracted from blank.pdf
2026-04-21T07:27:25 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T07:27:25 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T07:27:25 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T07:27:25 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T07:27:25 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T08:49:54 INFO    src.tools: done fetch_page in 0.00s
2026-04-21T08:49:54 INFO    src.tools: call fetch_page('https://example.com')
2026-04-21T08:49:54 INFO    src.tools: done fetch_page in 0.00s
2026-04-21T08:49:54 INFO    src.tools: call research('q')
2026-04-21T08:49:54 INFO    src.tools: done research in 0.00s
2026-04-21T08:49:54 INFO    src.tools: call research('q')
2026-04-21T08:49:54 INFO    src.tools: done research in 0.00s
2026-04-21T08:49:54 INFO    src.tools: call list_models()
2026-04-21T08:49:54 INFO    src.tools: done list_models in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_text('hello world', source_label='manual')
2026-04-21T08:49:54 INFO    faiss.loader: Loading faiss with AVX2 support.
2026-04-21T08:49:54 INFO    faiss.loader: Successfully loaded faiss with AVX2 support.
2026-04-21T08:49:54 INFO    src.vector: done index_text in 0.11s
2026-04-21T08:49:54 INFO    src.vector: call index_text('', source_label='manual')
2026-04-21T08:49:54 INFO    src.vector: done index_text in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_pdf('/tmp/pytest-of-mohamed/pytest-13/test_indexes_a_real_pdf0/sample.pdf')
2026-04-21T08:49:54 INFO    src.vector: index_pdf: 2 chunks indexed from sample.pdf
2026-04-21T08:49:54 INFO    src.vector: done index_pdf in 0.01s
2026-04-21T08:49:54 INFO    src.vector: call index_pdf('/tmp/pytest-of-mohamed/pytest-13/test_pdf_with_no_text0/blank.pdf')
2026-04-21T08:49:54 WARNING src.vector: index_pdf: no text extracted from blank.pdf
2026-04-21T08:49:54 INFO    src.vector: done index_pdf in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_text('the capital of france is paris', 'geography')
2026-04-21T08:49:54 INFO    src.vector: done index_text in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call retrieve('france capital')
2026-04-21T08:49:54 INFO    src.vector: done retrieve in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_text('cats are mammals', 'biology')
2026-04-21T08:49:54 INFO    src.vector: done index_text in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call retrieve('mammals')
2026-04-21T08:49:54 INFO    src.vector: done retrieve in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_text('fact number 0', 'doc-0')
2026-04-21T08:49:54 INFO    src.vector: done index_text in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_text('fact number 1', 'doc-1')
2026-04-21T08:49:54 INFO    src.vector: done index_text in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_text('fact number 2', 'doc-2')
2026-04-21T08:49:54 INFO    src.vector: done index_text in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_text('fact number 3', 'doc-3')
2026-04-21T08:49:54 INFO    src.vector: done index_text in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_text('fact number 4', 'doc-4')
2026-04-21T08:49:54 INFO    src.vector: done index_text in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_text('fact number 5', 'doc-5')
2026-04-21T08:49:54 INFO    src.vector: done index_text in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_text('fact number 6', 'doc-6')
2026-04-21T08:49:54 INFO    src.vector: done index_text in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_text('fact number 7', 'doc-7')
2026-04-21T08:49:54 INFO    src.vector: done index_text in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_text('fact number 8', 'doc-8')
2026-04-21T08:49:54 INFO    src.vector: done index_text in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_text('fact number 9', 'doc-9')
2026-04-21T08:49:54 INFO    src.vector: done index_text in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call retrieve('fact', k=3)
2026-04-21T08:49:54 INFO    src.vector: done retrieve in 0.00s
2026-04-21T08:49:54 INFO    src.vector: call index_url('https://example.com/post')
2026-04-21T08:49:54 INFO    src.vector: index_url: 2 chunks indexed from https://example.com/post
